game,Away,Home,date,season,team,half,time_clock,half_time,ot_time,time_formula,time_setup,minutes,seconds,time_in_game,mu_md,goal_number,goal_type,additional_goals
FresnoStateDenver,FresnoState,Denver,3/4/20,2020,Denver,1,11:48,30:00,,18:12,18:12,18,12,18.2,,7,FP,13
GeorgetownGeorgeWashington,Georgetown,GeorgeWashington,3/4/20,2020,Georgetown,1,11:41,30:00,,18:19,18:19,18,19,18.31666667,,7,UA,14
DavidsonOldDominion,Davidson,OldDominion,3/4/20,2020,Davidson,1,9:05,30:00,,20:55,20:55,20,55,20.91666667,,10,UA,12
CentralMichiganMarquette,CentralMichigan,Marquette,3/4/20,2020,Marquette,1,8:23,30:00,,21:37,21:37,21,37,21.61666667,md,10,UA,9
CampbellMountStMarys,Campbell,MountStMarys,3/4/20,2020,MountStMarys,1,0:50,30:00,,29:10,29:10,29,10,29.16666667,mu,8,A,10
PennStateJamesMadison,PennState,JamesMadison,3/4/20,2020,JamesMadison,1,0:26,30:00,,29:34,29:34,29,34,29.56666667,,7,FP,9
DuquesneDelaware,Duquesne,Delaware,3/4/20,2020,Delaware,1,0:25,30:00,,29:35,29:35,29,35,29.58333333,,9,A,8
StJosephsVillanova,StJosephs,Villanova,3/4/20,2020,StJosephs,2,24:42,30:00,,35:18,35:18,35,18,35.3,,10,A,6
GeorgeMasonVirginia,GeorgeMason,Virginia,3/4/20,2020,Virginia,2,18:15,30:00,,41:45,41:45,41,45,41.75,,9,UA,5
MichiganVanderbilt,Michigan,Vanderbilt,3/4/20,2020,Michigan,2,16:35,30:00,,43:25,43:25,43,25,43.41666667,,14,FP,6
HartfordQuinnipiac,Hartford,Quinnipiac,3/4/20,2020,Quinnipiac,2,15:11,30:00,,44:49,44:49,44,49,44.81666667,mu,10,FP,6
TempleColumbia,Temple,Columbia,3/4/20,2020,Temple,2,6:38,30:00,,53:22,53:22,53,22,53.36666667,,13,UA,2
RutgersMonmouth,Rutgers,Monmouth,3/4/20,2020,Monmouth,2,6:24,30:00,,53:36,53:36,53,36,53.6,,13,A,3
MercerKennesawState,Mercer,KennesawState,3/4/20,2020,Mercer,2,5:49,30:00,,54:11,54:11,54,11,54.18333333,,11,A,2
SienaVermont,Siena,Vermont,3/4/20,2020,Vermont,2,0:23,30:00,,59:37,59:37,59,37,59.61666667,,11,UA,0
ManhattanLafayette,Manhattan,Lafayette,3/4/20,2020,Lafayette,5,2:13,30:00,9:00,66:47,66:47,66,47,66.78333333,,10,UA,0
LouisvilleUNC,Louisville,UNC,3/5/20,2020,UNC,1,11:04,30:00,,18:56,18:56,18,56,18.93333333,md,8,A,11
TowsonStonyBrook,Towson,StonyBrook,3/5/20,2020,StonyBrook,1,4:06,30:00,,25:54,25:54,25,54,25.9,,9,A,4
StBonaventureGardnerWebb,StBonaventure,GardnerWebb,3/5/20,2020,GardnerWebb,2,22:11,30:00,,37:49,37:49,37,49,37.81666667,,10,UA,7
DetroitMercyWinthrop,DetroitMercy,Winthrop,3/5/20,2020,DetroitMercy,2,10:54,30:00,,49:06,49:06,49,6,49.1,,9,UA,2
RobertMorrisLiberty,RobertMorris,Liberty,3/5/20,2020,Liberty,2,0:04,30:00,,59:56,59:56,59,56,59.93333333,,14,FP,0
DelawareStSacredHeart,DelawareSt,SacredHeart,3/6/20,2020,SacredHeart,1,25:44,30:00,,4:16,4:16,4,16,4.266666667,,3,UA,18
StFrancisHoward,StFrancis,Howard,3/6/20,2020,StFrancis,1,21:21,30:00,,8:39,8:39,8,39,8.65,,7,UA,14
OregonColorado,Oregon,Colorado,3/6/20,2020,Colorado,1,16:22,30:00,,13:38,13:38,13,38,13.63333333,,6,UA,15
CalArizonaState,Cal,ArizonaState,3/6/20,2020,ArizonaState,2,10:35,30:00,,49:25,49:25,49,25,49.41666667,,16,A,1
StanfordUSC,Stanford,USC,3/6/20,2020,USC,2,4:28,30:00,,55:32,55:32,55,32,55.53333333,,13,FP,0
StetsonCincinatti,Stetson,Cincinatti,3/6/20,2020,Cincinatti,2,4:12,30:00,,55:48,55:48,55,48,55.8,,15,A,1
ColumbiaCornell,Columbia,Cornell,3/7/20,2020,Cornell,1,15:09,30:00,,14:51,14:51,14,51,14.85,,3,UA,17
UNHDartmouth,UNH,Dartmouth,3/7/20,2020,Dartmouth,1,15:09,30:00,,14:51,14:51,14,51,14.85,,6,A,12
UMassLowellIona,UMassLowell,Iona,3/7/20,2020,UMassLowell,1,8:09,30:00,,21:51,21:51,21,51,21.85,,6,A,6
CanisiusAlbany,Canisius,Albany,3/7/20,2020,Albany,1,5:53,30:00,,24:07,24:07,24,7,24.11666667,,9,A,10
JamesMadisonRutgers,JamesMadison,Rutgers,3/7/20,2020,JamesMadison,1,5:09,30:00,,24:51,24:51,24,51,24.85,,6,UA,10
LaSalleLIU,LaSalle,LIU,3/7/20,2020,LaSalle,1,2:54,30:00,,27:06,27:06,27,6,27.1,,7,UA,11
VillanovaHarvard,Villanova,Harvard,3/7/20,2020,Harvard,1,0:21,30:00,,29:39,29:39,29,39,29.65,,6,A,10
WinthropKennesawState,Winthrop,KennesawState,3/7/20,2020,KennesawState,2,29:02,30:00,,30:58,30:58,30,58,30.96666667,,10,UA,3
RadfordHartford,Radford,Hartford,3/7/20,2020,Radford,2,28:52,30:00,,31:08,31:08,31,8,31.13333333,,13,A,5
RichmondOldDominion,Richmond,OldDominion,3/7/20,2020,Richmond,2,26:46,30:00,,33:14,33:14,33,14,33.23333333,,10,FP,12
ColgateDrexel,Colgate,Drexel,3/7/20,2020,Drexel,2,26:21,30:00,,33:39,33:39,33,39,33.65,,14,FP,4
StBonaventureAkron,StBonaventure,Akron,3/7/20,2020,StBonaventure,2,25:47,30:00,,34:13,34:13,34,13,34.21666667,,11,UA,3
OhioStateMarquette,OhioState,Marquette,3/7/20,2020,OhioState,2,23:12,30:00,,36:48,36:48,36,48,36.8,,15,UA,1
HighPointFlorida,HighPoint,Florida,3/7/20,2020,Florida,2,20:18,30:00,,39:42,39:42,39,42,39.7,,11,FP,6
WagnerSiena,Wagner,Siena,3/7/20,2020,Siena,2,18:45,30:00,,41:15,41:15,41,15,41.25,,9,UA,2
MountStMarysLafayette,MountStMarys,Lafayette,3/7/20,2020,MountStMarys,2,18:22,30:00,,41:38,41:38,41,38,41.63333333,,10,FP,2
UMBCTemple,UMBC,Temple,3/7/20,2020,Temple,2,18:17,30:00,,41:43,41:43,41,43,41.71666667,,8,UA,2
PresbyterianButler,Presbyterian,Butler,3/7/20,2020,Butler,2,17:23,30:00,,42:37,42:37,42,37,42.61666667,,10,FP,4
VirginiaDuke,Virginia,Duke,3/7/20,2020,Duke,2,17:12,30:00,,42:48,42:48,42,48,42.8,,11,UA,5
BucknellCampbell,Bucknell,Campbell,3/7/20,2020,Bucknell,2,14:51,30:00,,45:09,45:09,45,9,45.15,,11,UA,2
LoyolaPenn,Loyola,Penn,3/7/20,2020,Loyola,2,13:01,30:00,,46:59,46:59,46,59,46.98333333,,16,A,3
ArmyEastCarolina,Army,EastCarolina,3/7/20,2020,Army,2,12:35,30:00,,47:25,47:25,47,25,47.41666667,,9,A,2
JohnsHopkinsStJosephs,JohnsHopkins,StJosephs,3/7/20,2020,JohnsHopkins,2,12:31,30:00,,47:29,47:29,47,29,47.48333333,,11,A,2
HofstraMaryland,Hofstra,Maryland,3/7/20,2020,Maryland,2,11:05,30:00,,48:55,48:55,48,55,48.91666667,,12,A,4
MonmouthHolyCross,Monmouth,HolyCross,3/7/20,2020,Monmouth,2,10:09,30:00,,49:51,49:51,49,51,49.85,,14,FP,3
BostonCollegeNotreDame,BostonCollege,NotreDame,3/7/20,2020,NotreDame,2,9:47,30:00,,50:13,50:13,50,13,50.21666667,,8,A,3
BinghamtonQuinnipiac,Binghamton,Quinnipiac,3/7/20,2020,Binghamton,2,9:33,30:00,,50:27,50:27,50,27,50.45,,9,A,1
UMassUConn,UMass,UConn,3/7/20,2020,UMass,2,9:31,30:00,,50:29,50:29,50,29,50.48333333,,15,A,3
LehighFurman,Lehigh,Furman,3/7/20,2020,Lehigh,2,8:57,30:00,,51:03,51:03,51,3,51.05,,7,A,3
VCULongwood,VCU,Longwood,3/7/20,2020,VCU,2,6:27,30:00,,53:33,53:33,53,33,53.55,,14,UA,1
BrownYale,Brown,Yale,3/7/20,2020,Yale,2,1:35,30:00,,58:25,58:25,58,25,58.41666667,,11,UA,0
AmericanWofford,American,Wofford,3/7/20,2020,American,3,2:21,30:00,3:00,60:39,60:39,60,39,60.65,,20,UA,0
ElonDelaware,Elon,Delaware,3/7/20,2020,Delaware,4,2:11,30:00,6:00,63:49,63:49,63,49,63.81666667,,12,UA,0
CincinnattiKentState,Cincinnatti,KentState,3/8/20,2020,Cincinatti,1,15:31,30:00,,14:29,14:29,14,29,14.48333333,,9,A,16
StanfordArizonaState,Stanford,ArizonaState,3/8/20,2020,Stanford,1,9:05,30:00,,20:55,20:55,20,55,20.91666667,,7,A,10
CoastalCarolinaColorado,CoastalCarolina,Colorado,3/8/20,2020,Colorado,1,5:24,30:00,,24:36,24:36,24,36,24.6,,9,A,10
DetroitMercyGardnerWebb,DetroitMercy,GardnerWebb,3/8/20,2020,GardnerWebb,1,3:47,30:00,,26:13,26:13,26,13,26.21666667,mu,10,FP,10
GeorgeMasonSDSU,GeorgeMason,SDSU,3/8/20,2020,SDSU,1,3:01,30:00,,26:59,26:59,26,59,26.98333333,,9,A,4
SyracuseVirginiaTech,Syracuse,VirginiaTech,3/8/20,2020,Syracuse,1,1:36,30:00,,28:24,28:24,28,24,28.4,,9,UA,9
PrincetonStonyBrook,Princeton,StonyBrook,3/8/20,2020,StonyBrook,1,0:11,30:00,,29:49,29:49,29,49,29.81666667,,13,A,5
FresnoStateOregon,FresnoState,Oregon,3/8/20,2020,Oregon,2,28:57,30:00,,31:03,31:03,31,3,31.05,,13,FP,7
FairfieldDenver,Fairfield,Denver,3/8/20,2020,Denver,2,24:37,30:00,,35:23,35:23,35,23,35.38333333,,12,A,9
CalUSC,Cal,USC,3/8/20,2020,USC,2,19:12,30:00,,40:48,40:48,40,48,40.8,,10,FP,6
StetsonCentralMichigan,Stetson,CentralMichigan,3/8/20,2020,CentralMichigan,2,16:49,30:00,,43:11,43:11,43,11,43.18333333,,12,A,2
GeorgeWashingtonWilliamMary,GeorgeWashington,WilliamMary,3/8/20,2020,WilliamMary,2,13:27,30:00,,46:33,46:33,46,33,46.55,,18,UA,1
VermontMercer,Vermont,Mercer,3/8/20,2020,Mercer,2,8:06,30:00,,51:54,51:54,51,54,51.9,,13,A,1
PennStateVanderbilt,PennState,Vanderbilt,3/8/20,2020,PennState,2,5:50,30:00,,54:10,54:10,54,10,54.16666667,,14,UA,0
LehighDavidson,Lehigh,Davidson,3/9/20,2020,Lehigh,1,0:20,30:00,,29:40,29:40,29,40,29.66666667,,9,A,8
NiagaraLouisville,Niagara,Louisville,3/9/20,2020,Louisville,2,29:46,30:00,,30:14,30:14,30,14,30.23333333,,8,A,9
RadfordCentralConnecticut,Radford,CentralConnecticut,3/9/20,2020,Radford,2,20:29,30:00,,39:31,39:31,39,31,39.51666667,,8,FP,4
UNCNorthwestern,UNC,Northwestern,3/9/20,2020,UNC,2,6:57,30:00,,53:03,53:03,53,3,53.05,,19,UA,1
GeorgetownUCDavis,Georgetown,UCDavis,3/9/20,2020,UCDavis,2,3:57,30:00,,56:03,56:03,56,3,56.05,,15,FP,0
EastCarolinaDuke,EastCarolina,Duke,3/10/20,2020,Duke,1,15:25,30:00,,14:35,14:35,14,35,14.58333333,,7,UA,3
HolyCrossMerrimack,HolyCross,Merrimack,3/10/20,2020,HolyCross,1,12:42,30:00,,17:18,17:18,17,18,17.3,,7,UA,7
AmericanPresbyterian,American,Presbyterian,3/10/20,2020,American,1,7:22,30:00,,22:38,22:38,22,38,22.63333333,,10,A,9
NavyFlorida,Navy,Florida,3/10/20,2020,Florida,1,4:11,30:00,,25:49,25:49,25,49,25.81666667,,10,A,7
StFrancisKentState,StFrancis,KentState,3/10/20,2020,StFrancis,2,24:10,30:00,,35:50,35:50,35,50,35.83333333,,14,A,4
UMassLowellMarist,UMassLowell,Marist,3/10/20,2020,Marist,2,17:21,30:00,,42:39,42:39,42,39,42.65,,11,UA,4
OhioStateTowson,OhioState,Towson,3/10/20,2020,Towson,2,13:19,30:00,,46:41,46:41,46,41,46.68333333,,15,A,6
MonmouthWagner,Monmouth,Wagner,3/10/20,2020,Monmouth,2,7:52,30:00,,52:08,52:08,52,8,52.13333333,,15,UA,2
BucknellFurman,Bucknell,Furman,3/10/20,2020,Furman,2,7:41,30:00,,52:19,52:19,52,19,52.31666667,,15,UA,4
LafayetteRutgers,Lafayette,Rutgers,3/10/20,2020,Rutgers,2,2:26,30:00,,57:34,57:34,57,34,57.56666667,,11,A,8
AkronDuquesne,Akron,Duquesne,3/11/20,2020,Duquesne,1,27:41,30:00,,2:19,2:19,2,19,2.316666667,,3,A,22
HowardMountStMarys,Howard,MountStMarys,3/11/20,2020,MountStMarys,1,21:58,30:00,,8:02,8:02,8,2,8.033333333,,4,A,11
NotreDameVanderbilt,NotreDame,Vanderbilt,3/11/20,2020,NotreDame,1,20:56,30:00,,9:04,9:04,9,4,9.066666667,,7,A,9
DelawareStCampbell,DelawareSt,Campbell,3/11/20,2020,Campbell,1,10:57,30:00,,19:03,19:03,19,3,19.05,,10,A,7
StBonaventureCanisius,StBonaventure,Canisius,3/11/20,2020,Canisius,1,9:38,30:00,,20:22,20:22,20,22,20.36666667,,8,UA,9
HofstraBostonCollege,Hofstra,BostonCollege,3/11/20,2020,BostonCollege,1,8:59,30:00,,21:01,21:01,21,1,21.01666667,,11,A,9
TempleVillanova,Temple,Villanova,3/11/20,2020,Villanova,1,0:19,30:00,,29:41,29:41,29,41,29.68333333,mu,12,UA,1
CoastalCarolinaDenver,CoastalCarolina,Denver,3/11/20,2020,Denver,2,28:47,30:00,,31:13,31:13,31,13,31.21666667,,7,FP,6
BryantLongwood,Bryant,Longwood,3/11/20,2020,Longwood,2,28:39,30:00,,31:21,31:21,31,21,31.35,,8,FP,5
ColgateBinghamton,Colgate,Binghamton,3/11/20,2020,Binghamton,2,28:37,30:00,,31:23,31:23,31,23,31.38333333,,9,UA,3
GeorgeMasonUCDavis,GeorgeMason,UCDavis,3/11/20,2020,GeorgeMason,2,26:51,30:00,,33:09,33:09,33,9,33.15,,13,A,5
MarquetteDetroitMercy,Marquette,DetroitMercy,3/11/20,2020,Marquette,2,26:51,30:00,,33:09,33:09,33,9,33.15,,13,A,10
ButlerRobertMorris,Butler,RobertMorris,3/11/20,2020,RobertMorris,2,24:06,30:00,,35:54,35:54,35,54,35.9,,9,A,6
AlbanySiena,Albany,Siena,3/11/20,2020,Albany,2,22:33,30:00,,37:27,37:27,37,27,37.45,mu,11,A,9
ColumbiaUConn,Columbia,UConn,3/11/20,2020,UConn,2,22:08,30:00,,37:52,37:52,37,52,37.86666667,,8,A,6
QuinnipiacOldDominion,Quinnipiac,OldDominion,3/11/20,2020,Quinnipiac,2,19:10,30:00,,40:50,40:50,40,50,40.83333333,,12,FP,4
ManhattanSacredHeart,Manhattan,SacredHeart,3/11/20,2020,Manhattan,2,14:51,30:00,,45:09,45:09,45,9,45.15,,8,A,1
VermontKennesawState,Vermont,KennesawState,3/11/20,2020,Vermont,2,6:54,30:00,,53:06,53:06,53,6,53.1,,15,FP,2
VirginiaTechBrown,VirginiaTech,Brown,3/11/20,2020,Brown,2,5:00,30:00,,55:00,55:00,55,0,55,,12,FP,1
UMBCDrexel,UMBC,Drexel,3/11/20,2020,Drexel,2,3:37,30:00,,56:23,56:23,56,23,56.38333333,,10,UA,1
GardnerWebbVCU,GardnerWebb,VCU,3/11/20,2020,GardnerWebb,2,2:45,30:00,,57:15,57:15,57,15,57.25,,16,A,0
YaleFresnoState,Yale,FresnoState,3/12/20,2020,Yale,3,0:04,30:00,3:00,62:56,62:56,62,56,62.93333333,,13,A,0
